,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,1227.4285888671875,655.6152954101562,671.07421875,1975.3426513671875,1278.5999755859375,736.8499755859375,690.1383056640625,2167.60009765625,1280.0,740.0,698.1387329101562,2183.89990234375,1270.5999755859375,732.5499877929688,688.2639770507812,2154.0,1276.0999755859375,735.0,693.978515625,2168.0,1836849.0,2112415,14004468,1354908
2020-01-02,1235.25244140625,653.702392578125,682.4988403320312,1966.275390625,1286.75,734.7000122070312,701.8875122070312,2157.64990234375,1288.0,740.7999877929688,704.4705200195312,2179.949951171875,1279.0,730.9000244140625,691.2355346679688,2149.199951171875,1279.0,738.9000244140625,691.2355346679688,2179.949951171875,3068583.0,5658200,17710316,2380752
2020-01-03,1217.6368408203125,663.756591796875,683.3212890625,2005.4613037109375,1268.4000244140625,746.0,702.7332763671875,2200.64990234375,1285.0,748.0,704.79052734375,2223.0,1263.5999755859375,733.9000244140625,696.2643432617188,2164.0,1282.199951171875,733.9000244140625,700.8359985351562,2164.0,5427775.0,7882938,20984698,4655761
2020-01-06,1191.2855224609375,657.3948974609375,667.4735107421875,2005.279296875,1240.949951171875,738.8499755859375,686.435302734375,2200.449951171875,1261.800048828125,753.7999877929688,698.5044555664062,2225.949951171875,1236.0,736.5,684.835205078125,2187.89990234375,1260.0,746.0999755859375,694.8928833007812,2205.0,5445093.0,6519403,24519177,3023209
2020-01-07,1210.1490478515625,647.6519775390625,677.7423095703125,2010.2001953125,1260.5999755859375,727.9000244140625,696.995849609375,2205.85009765625,1271.449951171875,742.5999755859375,701.5217895507812,2214.64990234375,1252.25,725.0999755859375,691.9212646484375,2183.800048828125,1258.9000244140625,738.0,694.4356689453125,2200.5,7362247.0,7899363,16683622,2429317
2020-01-08,1206.9810791015625,639.0214233398438,672.6524047851562,2055.21826171875,1257.300048828125,718.2000122070312,691.7612915039062,2255.25,1262.1500244140625,729.0,701.4989013671875,2260.0,1240.050048828125,708.2999877929688,690.3212280273438,2202.050048828125,1246.949951171875,724.9500122070312,692.6070556640625,2205.0,5666055.0,8639443,16047902,5197454
2020-01-09,1220.516845703125,647.340576171875,688.1444702148438,2017.9466552734375,1271.4000244140625,727.5499877929688,707.6935424804688,2214.35009765625,1275.800048828125,731.5,708.6078491210938,2251.949951171875,1263.0999755859375,714.2999877929688,700.0360107421875,2210.0,1265.0,721.7000122070312,703.3961791992188,2248.75,4773158.0,13521186,14982742,3734173
2020-01-10,1231.3643798828125,656.7720336914062,687.9888916015625,2017.218017578125,1282.699951171875,738.1500244140625,707.5335083007812,2213.550048828125,1286.9000244140625,742.9000244140625,712.2423095703125,2234.0,1275.0999755859375,730.5,703.8761596679688,2208.0,1284.0999755859375,740.4500122070312,709.4764404296875,2228.0,4607290.0,9341405,12478359,1915807
